INFO 2026-04-25 23:21:28,263 autoreload 4636 23236 Watching for file changes with StatReloader
INFO 2026-04-25 23:23:49,221 autoreload 22056 20384 Watching for file changes with StatReloader
INFO 2026-04-25 23:26:47,269 autoreload 14848 19976 Watching for file changes with StatReloader
INFO 2026-04-25 23:27:47,076 autoreload 18868 19216 Watching for file changes with StatReloader
INFO 2026-04-25 23:43:51,022 autoreload 19012 19132 Watching for file changes with StatReloader
INFO 2026-04-25 23:48:33,457 autoreload 19012 19132 C:\Users\PC\Desktop\projet_final\backend\settings_complete.py changed, reloading.
INFO 2026-04-25 23:48:34,896 autoreload 13532 13988 Watching for file changes with StatReloader
INFO 2026-04-25 23:48:46,373 autoreload 18092 16060 Watching for file changes with StatReloader
INFO 2026-04-26 00:06:01,576 autoreload 18092 16060 C:\Users\PC\Desktop\projet_final\backend\settings_complete.py changed, reloading.
INFO 2026-04-26 00:06:02,928 autoreload 15940 8368 Watching for file changes with StatReloader
INFO 2026-04-26 00:24:37,147 autoreload 9324 24236 Watching for file changes with StatReloader
INFO 2026-04-26 00:33:13,757 autoreload 9324 24236 C:\Users\PC\Desktop\projet_final\backend\settings_complete.py changed, reloading.
INFO 2026-04-26 00:33:15,828 autoreload 22240 23888 Watching for file changes with StatReloader
INFO 2026-04-26 00:36:36,877 autoreload 12480 2060 Watching for file changes with StatReloader
INFO 2026-04-26 00:40:55,618 autoreload 12480 2060 C:\Users\PC\Desktop\projet_final\backend\core\apps.py changed, reloading.
INFO 2026-04-26 00:40:57,408 autoreload 15032 11508 Watching for file changes with StatReloader
INFO 2026-04-26 00:51:42,132 autoreload 15032 11508 C:\Users\PC\Desktop\projet_final\backend\core\views_optimized.py changed, reloading.
INFO 2026-04-26 00:51:43,870 autoreload 23812 15160 Watching for file changes with StatReloader
INFO 2026-04-26 00:57:56,935 autoreload 12356 23632 Watching for file changes with StatReloader
INFO 2026-04-26 00:58:15,467 autoreload 14040 20436 Watching for file changes with StatReloader
INFO 2026-04-26 01:01:51,020 autoreload 14040 20436 C:\Users\PC\Desktop\projet_final\pipeline\pipeline_service.py changed, reloading.
INFO 2026-04-26 01:01:52,857 autoreload 19884 17592 Watching for file changes with StatReloader
